current_job_title,target_job_title,skills,education_level,years_of_experience,portfolio_strength,estimated_salary_usd,certifications,language_proficiency,remote_work_preference,projects_completed,communication_skills_rating
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,75000,AWS Certified,"English, Spanish",Onsite,5,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,95000,Google Data Analytics,"English, French",Hybrid,5,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,85000,PMP,"English, Hindi",Onsite,3,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,78000,Scrum Master,"English, French",Hybrid,5,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,62000,PMP,"English, French",Onsite,3,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,75000,Certified UX Designer,"English, Hindi",Remote,9,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,95000,Microsoft Azure,"English, Hindi",Remote,1,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,85000,Certified UX Designer,English,Hybrid,3,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,78000,None,"English, German",Remote,6,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,62000,Scrum Master,English,Remote,4,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,75000,PMP,"English, Hindi",Remote,4,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,95000,DataCamp Track,"English, Spanish",Onsite,10,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,85000,AWS Certified,"English, French",Remote,2,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,78000,Certified UX Designer,"English, Hindi",Remote,5,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,62000,Certified UX Designer,"English, Spanish",Onsite,6,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,75000,DataCamp Track,English,Onsite,7,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,95000,Microsoft Azure,"English, Hindi",Remote,7,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,85000,Certified UX Designer,"English, German",Onsite,9,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,78000,PMP,"English, French",Onsite,7,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,62000,Google Data Analytics,"English, Spanish",Hybrid,7,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,75000,None,English,Hybrid,6,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,95000,Google Data Analytics,English,Onsite,7,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,105941,Google Data Analytics,English,Remote,1,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,89446,Microsoft Azure,"English, Spanish",Onsite,10,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,68504,None,"English, German",Remote,9,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,85455,DataCamp Track,"English, French",Remote,9,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,99007,Certified UX Designer,"English, Hindi",Hybrid,4,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Low,85915,DataCamp Track,English,Onsite,8,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,89393,Google Data Analytics,English,Remote,5,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,High,94498,None,English,Onsite,5,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,89831,DataCamp Track,"English, Spanish",Onsite,12,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,75926,AWS Certified,"English, German",Onsite,12,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,88399,Google Data Analytics,"English, German",Onsite,9,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,High,87817,Certified UX Designer,"English, German",Onsite,10,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,78968,AWS Certified,"English, Spanish",Onsite,5,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,53623,Microsoft Azure,"English, Spanish",Hybrid,2,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,66713,Google Data Analytics,"English, Spanish",Remote,2,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,81222,None,"English, German",Remote,7,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,74811,DataCamp Track,English,Onsite,10,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,83886,PMP,"English, Hindi",Onsite,5,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,High,102775,None,"English, German",Hybrid,7,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,High,92654,Google Data Analytics,English,Onsite,10,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,108001,DataCamp Track,"English, Spanish",Onsite,13,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,77733,AWS Certified,"English, German",Onsite,7,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,82492,None,"English, German",Remote,9,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,83694,Google Data Analytics,English,Onsite,7,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,77174,Scrum Master,"English, French",Remote,9,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,53232,Google Data Analytics,"English, Spanish",Remote,2,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,79490,PMP,"English, Hindi",Onsite,2,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,102907,Google Data Analytics,"English, German",Onsite,9,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,64481,Certified UX Designer,"English, Spanish",Onsite,5,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,56687,Google Data Analytics,"English, French",Remote,5,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,87327,AWS Certified,"English, German",Onsite,7,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,High,66037,Certified UX Designer,"English, Spanish",Onsite,6,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,72721,DataCamp Track,"English, French",Remote,5,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Low,68681,PMP,"English, French",Onsite,2,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,106860,None,"English, German",Hybrid,9,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,High,106278,Google Data Analytics,English,Remote,3,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,High,86744,PMP,"English, Hindi",Onsite,2,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,79811,Certified UX Designer,"English, German",Onsite,8,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,80211,AWS Certified,"English, Spanish",Onsite,7,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,79422,Scrum Master,"English, French",Hybrid,4,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,High,89500,AWS Certified,"English, Spanish",Hybrid,3,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,84637,Scrum Master,"English, Hindi",Hybrid,4,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Low,63296,Google Data Analytics,"English, German",Hybrid,1,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,73769,None,English,Hybrid,9,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Low,81614,Google Data Analytics,English,Remote,4,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,83749,AWS Certified,"English, Spanish",Onsite,4,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,104834,Google Data Analytics,"English, French",Hybrid,8,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Low,59155,AWS Certified,"English, French",Hybrid,13,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,104525,DataCamp Track,"English, Spanish",Onsite,10,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,79308,AWS Certified,"English, Spanish",Onsite,7,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,86455,Scrum Master,"English, French",Hybrid,6,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,83419,Google Data Analytics,English,Remote,5,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Low,80952,PMP,"English, Hindi",Remote,6,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,63386,Google Data Analytics,"English, Spanish",Hybrid,8,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,81820,None,"English, German",Hybrid,7,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,90443,Certified UX Designer,"English, Hindi",Hybrid,3,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,83589,PMP,"English, Hindi",Remote,6,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,59486,Google Data Analytics,"English, German",Hybrid,1,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,56476,PMP,"English, French",Onsite,3,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,89060,Certified UX Designer,English,Hybrid,4,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,79560,Certified UX Designer,"English, German",Remote,6,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,70292,Certified UX Designer,"English, Hindi",Remote,10,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,78408,AWS Certified,"English, French",Remote,3,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,70361,Scrum Master,"English, French",Remote,9,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,74164,Certified UX Designer,"English, Spanish",Hybrid,1,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,101841,Google Data Analytics,English,Remote,2,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Low,66504,Microsoft Azure,"English, Spanish",Hybrid,1,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Medium,58224,PMP,"English, French",Onsite,2,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,62381,AWS Certified,"English, French",Hybrid,12,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,93243,AWS Certified,"English, French",Remote,2,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,101668,Google Data Analytics,"English, French",Hybrid,5,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,57385,Microsoft Azure,"English, Spanish",Hybrid,2,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,78120,AWS Certified,"English, German",Onsite,8,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,80722,Certified UX Designer,"English, German",Hybrid,9,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,65532,DataCamp Track,English,Onsite,10,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,76530,Microsoft Azure,"English, Spanish",Onsite,9,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,79070,Scrum Master,"English, French",Hybrid,8,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,89403,Google Data Analytics,"English, French",Hybrid,6,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,54063,Microsoft Azure,"English, Spanish",Hybrid,2,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,72836,DataCamp Track,English,Onsite,9,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,83546,Google Data Analytics,"English, Hindi",Hybrid,9,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,High,66429,Certified UX Designer,"English, Spanish",Hybrid,1,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,81726,Scrum Master,"English, French",Remote,10,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,67635,PMP,"English, French",Onsite,10,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,75698,None,"English, German",Remote,7,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,75279,None,English,Hybrid,6,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Medium,79458,None,"English, German",Remote,7,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,83286,Google Data Analytics,"English, German",Onsite,13,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,84500,Certified UX Designer,"English, Hindi",Remote,8,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,83260,Google Data Analytics,"English, French",Onsite,4,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,83190,AWS Certified,"English, German",Remote,4,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,86534,PMP,"English, Hindi",Onsite,5,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,87855,Certified UX Designer,"English, Hindi",Hybrid,7,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,95665,Certified UX Designer,"English, Hindi",Hybrid,3,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,High,68222,Scrum Master,"English, French",Remote,8,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,64202,Scrum Master,"English, Hindi",Hybrid,5,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,High,92350,Google Data Analytics,English,Onsite,6,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,66119,Google Data Analytics,"English, French",Remote,8,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,70795,Certified UX Designer,"English, Hindi",Remote,5,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,91988,AWS Certified,"English, French",Remote,2,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Medium,67199,Google Data Analytics,"English, German",Hybrid,1,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,89854,None,"English, German",Hybrid,7,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Medium,85532,Certified UX Designer,"English, German",Onsite,9,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,96535,Google Data Analytics,"English, French",Hybrid,4,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,84806,Certified UX Designer,"English, German",Hybrid,11,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,84407,DataCamp Track,"English, French",Remote,6,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,91164,None,English,Onsite,9,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,57254,Scrum Master,English,Remote,6,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,65981,Google Data Analytics,"English, French",Remote,6,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,86329,Google Data Analytics,"English, French",Onsite,4,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,82457,AWS Certified,"English, German",Onsite,11,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,High,86376,Scrum Master,"English, French",Hybrid,4,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,High,90029,Google Data Analytics,"English, German",Onsite,12,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,67344,Google Data Analytics,"English, German",Hybrid,3,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Medium,63919,DataCamp Track,"English, Spanish",Remote,13,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,High,98679,Google Data Analytics,"English, German",Onsite,13,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,75151,Certified UX Designer,English,Hybrid,5,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,64375,AWS Certified,"English, Spanish",Onsite,4,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,78722,PMP,"English, Hindi",Onsite,6,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,84051,Certified UX Designer,"English, German",Hybrid,8,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,95327,None,English,Onsite,6,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,101934,Google Data Analytics,"English, German",Onsite,12,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,88791,AWS Certified,"English, German",Onsite,4,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,79579,Certified UX Designer,"English, German",Hybrid,10,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,90673,Google Data Analytics,"English, French",Hybrid,8,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,65980,AWS Certified,"English, French",Hybrid,12,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,67657,Google Data Analytics,"English, French",Remote,7,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,83299,DataCamp Track,"English, German",Remote,10,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,94128,AWS Certified,"English, Spanish",Hybrid,3,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,68884,Certified UX Designer,"English, German",Hybrid,10,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,High,86589,Certified UX Designer,"English, Hindi",Hybrid,5,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,82524,Google Data Analytics,"English, French",Onsite,6,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Medium,87757,PMP,"English, French",Onsite,10,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Medium,72840,AWS Certified,"English, German",Remote,7,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,High,65746,PMP,"English, French",Onsite,5,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Low,62914,AWS Certified,"English, French",Hybrid,12,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,93555,Microsoft Azure,"English, Hindi",Remote,4,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Low,67212,Google Data Analytics,"English, Spanish",Hybrid,9,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,81326,Certified UX Designer,"English, German",Remote,7,3
